Attack Type,date,Amount
Hostage Taking (Kidnapping),1997/6/1,32
Hostage Taking (Kidnapping),1997/7/1,34
Hostage Taking (Kidnapping),1997/8/1,59
Hostage Taking (Kidnapping),1997/9/1,21
Hostage Taking (Kidnapping),1997/10/1,17
Hostage Taking (Kidnapping),1997/11/1,19
Hostage Taking (Kidnapping),1997/12/1,24
Hostage Taking (Kidnapping),1998/2/1,4
Hostage Taking (Kidnapping),1998/3/1,3
Hostage Taking (Kidnapping),1998/4/1,2
Hostage Taking (Kidnapping),1998/5/1,3
Hostage Taking (Kidnapping),1998/6/1,1
Hostage Taking (Kidnapping),1998/7/1,4
Hostage Taking (Kidnapping),1998/8/1,9
Hostage Taking (Kidnapping),1998/9/1,4
Hostage Taking (Kidnapping),1998/10/1,7
Hostage Taking (Kidnapping),1998/11/1,3
Hostage Taking (Kidnapping),1998/12/1,3
Hostage Taking (Kidnapping),1999/1/1,9
Hostage Taking (Kidnapping),1999/2/1,12
Hostage Taking (Kidnapping),1999/3/1,15
Hostage Taking (Kidnapping),1999/4/1,5
Hostage Taking (Kidnapping),1999/5/1,9
Hostage Taking (Kidnapping),1999/6/1,14
Hostage Taking (Kidnapping),1999/7/1,10
Hostage Taking (Kidnapping),1999/8/1,13
Hostage Taking (Kidnapping),1999/9/1,8
Hostage Taking (Kidnapping),1999/10/1,8
Hostage Taking (Kidnapping),1999/11/1,8
Hostage Taking (Kidnapping),1999/12/1,3
Hostage Taking (Kidnapping),2000/1/1,12
Hostage Taking (Kidnapping),2000/2/1,6
Hostage Taking (Kidnapping),2000/3/1,7
Hostage Taking (Kidnapping),2000/4/1,14
Hostage Taking (Kidnapping),2000/5/1,10
Hostage Taking (Kidnapping),2000/6/1,11
Hostage Taking (Kidnapping),2000/7/1,15
Hostage Taking (Kidnapping),2000/8/1,10
Hostage Taking (Kidnapping),2000/9/1,11
Hostage Taking (Kidnapping),2000/10/1,10
Hostage Taking (Kidnapping),2000/11/1,13
Hostage Taking (Kidnapping),2000/12/1,6
Hostage Taking (Kidnapping),2021/1/1,11
Hostage Taking (Kidnapping),2021/2/1,10
Hostage Taking (Kidnapping),2021/3/1,10
Hostage Taking (Kidnapping),2021/4/1,4
Hostage Taking (Kidnapping),2021/5/1,7
Hostage Taking (Kidnapping),2021/6/1,7
Hostage Taking (Kidnapping),2021/7/1,10
Hostage Taking (Kidnapping),2021/8/1,47
Hostage Taking (Kidnapping),2021/9/1,7
Hostage Taking (Kidnapping),2021/10/1,7
Hostage Taking (Kidnapping),2021/11/1,17
Hostage Taking (Kidnapping),2021/12/1,8
Hostage Taking (Kidnapping),2021/1/2,6
Hostage Taking (Kidnapping),2021/2/2,5
Hostage Taking (Kidnapping),2021/3/2,5
Hostage Taking (Kidnapping),2021/4/2,12
Hostage Taking (Kidnapping),2021/5/2,15
Hostage Taking (Kidnapping),2021/6/2,9
Hostage Taking (Kidnapping),2021/7/2,2
Hostage Taking (Kidnapping),2021/8/2,11
Hostage Taking (Kidnapping),2021/9/2,8
Hostage Taking (Kidnapping),2021/10/2,3
Hostage Taking (Kidnapping),2021/11/2,3
Hostage Taking (Kidnapping),2021/1/3,8
Hostage Taking (Kidnapping),2021/2/3,4
Hostage Taking (Kidnapping),2021/3/3,6
Hostage Taking (Kidnapping),2021/4/3,6
Hostage Taking (Kidnapping),2021/5/3,3
Hostage Taking (Kidnapping),2021/6/3,3
Hostage Taking (Kidnapping),2021/7/3,4
Hostage Taking (Kidnapping),2021/8/3,2
Hostage Taking (Kidnapping),2021/9/3,2
Hostage Taking (Kidnapping),2021/10/3,6
Hostage Taking (Kidnapping),2021/11/3,2
Hostage Taking (Kidnapping),2021/1/4,2
Hostage Taking (Kidnapping),2021/3/4,2
Hostage Taking (Kidnapping),2021/4/4,16
Hostage Taking (Kidnapping),2021/5/4,3
Hostage Taking (Kidnapping),2021/6/4,4
Hostage Taking (Kidnapping),2021/7/4,12
Hostage Taking (Kidnapping),2021/8/4,8
Hostage Taking (Kidnapping),2021/9/4,8
Hostage Taking (Kidnapping),2021/10/4,11
Hostage Taking (Kidnapping),2021/11/4,5
Hostage Taking (Kidnapping),2021/12/4,6
Hostage Taking (Kidnapping),2021/1/5,10
Hostage Taking (Kidnapping),2021/2/5,3
Hostage Taking (Kidnapping),2021/3/5,10
Hostage Taking (Kidnapping),2021/4/5,11
Hostage Taking (Kidnapping),2021/5/5,16
Hostage Taking (Kidnapping),2021/6/5,6
Hostage Taking (Kidnapping),2021/7/5,16
Hostage Taking (Kidnapping),2021/8/5,20
Hostage Taking (Kidnapping),2021/9/5,4
Hostage Taking (Kidnapping),2021/10/5,11
Hostage Taking (Kidnapping),2021/11/5,3
Hostage Taking (Kidnapping),2021/12/5,10
Hostage Taking (Kidnapping),2021/1/6,18
Hostage Taking (Kidnapping),2021/2/6,31
Hostage Taking (Kidnapping),2021/3/6,6
Hostage Taking (Kidnapping),2021/4/6,31
Hostage Taking (Kidnapping),2021/5/6,19
Hostage Taking (Kidnapping),2021/6/6,7
Hostage Taking (Kidnapping),2021/7/6,21
Hostage Taking (Kidnapping),2021/8/6,13
Hostage Taking (Kidnapping),2021/9/6,9
Hostage Taking (Kidnapping),2021/10/6,13
Hostage Taking (Kidnapping),2021/11/6,15
Hostage Taking (Kidnapping),2021/12/6,19
Hostage Taking (Kidnapping),2021/1/7,15
Hostage Taking (Kidnapping),2021/2/7,13
Hostage Taking (Kidnapping),2021/3/7,18
Hostage Taking (Kidnapping),2021/4/7,18
Hostage Taking (Kidnapping),2021/5/7,16
Hostage Taking (Kidnapping),2021/6/7,45
Hostage Taking (Kidnapping),2021/7/7,18
Hostage Taking (Kidnapping),2021/8/7,15
Hostage Taking (Kidnapping),2021/9/7,11
Hostage Taking (Kidnapping),2021/10/7,22
Hostage Taking (Kidnapping),2021/11/7,24
Hostage Taking (Kidnapping),2021/12/7,8
Hostage Taking (Kidnapping),2021/1/8,31
Hostage Taking (Kidnapping),2021/2/8,9
Hostage Taking (Kidnapping),2021/3/8,10
Hostage Taking (Kidnapping),2021/4/8,44
Hostage Taking (Kidnapping),2021/5/8,44
Hostage Taking (Kidnapping),2021/6/8,43
Hostage Taking (Kidnapping),2021/7/8,51
Hostage Taking (Kidnapping),2021/8/8,37
Hostage Taking (Kidnapping),2021/9/8,11
Hostage Taking (Kidnapping),2021/10/8,25
Hostage Taking (Kidnapping),2021/11/8,46
Hostage Taking (Kidnapping),2021/12/8,37
Hostage Taking (Kidnapping),2021/1/9,33
Hostage Taking (Kidnapping),2021/2/9,24
Hostage Taking (Kidnapping),2021/3/9,18
Hostage Taking (Kidnapping),2021/4/9,18
Hostage Taking (Kidnapping),2021/5/9,24
Hostage Taking (Kidnapping),2021/6/9,23
Hostage Taking (Kidnapping),2021/7/9,25
Hostage Taking (Kidnapping),2021/8/9,25
Hostage Taking (Kidnapping),2021/9/9,25
Hostage Taking (Kidnapping),2021/10/9,31
Hostage Taking (Kidnapping),2021/11/9,18
Hostage Taking (Kidnapping),2021/12/9,15
Hostage Taking (Kidnapping),2021/1/10,26
Hostage Taking (Kidnapping),2021/2/10,25
Hostage Taking (Kidnapping),2021/3/10,29
Hostage Taking (Kidnapping),2021/4/10,31
Hostage Taking (Kidnapping),2021/5/10,35
Hostage Taking (Kidnapping),2021/6/10,29
Hostage Taking (Kidnapping),2021/7/10,31
Hostage Taking (Kidnapping),2021/8/10,33
Hostage Taking (Kidnapping),2021/9/10,48
Hostage Taking (Kidnapping),2021/10/10,32
Hostage Taking (Kidnapping),2021/11/10,33
Hostage Taking (Kidnapping),2021/12/10,39
Hostage Taking (Kidnapping),2021/1/11,28
Hostage Taking (Kidnapping),2021/2/11,19
Hostage Taking (Kidnapping),2021/3/11,26
Hostage Taking (Kidnapping),2021/4/11,29
Hostage Taking (Kidnapping),2021/5/11,25
Hostage Taking (Kidnapping),2021/6/11,40
Hostage Taking (Kidnapping),2021/7/11,43
Hostage Taking (Kidnapping),2021/8/11,35
Hostage Taking (Kidnapping),2021/9/11,32
Hostage Taking (Kidnapping),2021/10/11,33
Hostage Taking (Kidnapping),2021/11/11,37
Hostage Taking (Kidnapping),2021/12/11,16
Hostage Taking (Kidnapping),2021/1/12,33
Hostage Taking (Kidnapping),2021/2/12,26
Hostage Taking (Kidnapping),2021/3/12,34
Hostage Taking (Kidnapping),2021/4/12,33
Hostage Taking (Kidnapping),2021/5/12,33
Hostage Taking (Kidnapping),2021/6/12,32
Hostage Taking (Kidnapping),2021/7/12,32
Hostage Taking (Kidnapping),2021/8/12,22
Hostage Taking (Kidnapping),2021/9/12,14
Hostage Taking (Kidnapping),2021/10/12,42
Hostage Taking (Kidnapping),2021/11/12,25
Hostage Taking (Kidnapping),2021/12/12,27
Hostage Taking (Kidnapping),2021/1/13,49
Hostage Taking (Kidnapping),2021/2/13,27
Hostage Taking (Kidnapping),2021/3/13,30
Hostage Taking (Kidnapping),2021/4/13,53
Hostage Taking (Kidnapping),2021/5/13,57
Hostage Taking (Kidnapping),2021/6/13,60
Hostage Taking (Kidnapping),2021/7/13,60
Hostage Taking (Kidnapping),2021/8/13,45
Hostage Taking (Kidnapping),2021/9/13,57
Hostage Taking (Kidnapping),2021/10/13,60
Hostage Taking (Kidnapping),2021/11/13,63
Hostage Taking (Kidnapping),2021/12/13,73
Hostage Taking (Kidnapping),2021/1/14,82
Hostage Taking (Kidnapping),2021/2/14,75
Hostage Taking (Kidnapping),2021/3/14,86
Hostage Taking (Kidnapping),2021/4/14,128
Hostage Taking (Kidnapping),2021/5/14,115
Hostage Taking (Kidnapping),2021/6/14,132
Hostage Taking (Kidnapping),2021/7/14,149
Hostage Taking (Kidnapping),2021/8/14,144
Hostage Taking (Kidnapping),2021/9/14,147
Hostage Taking (Kidnapping),2021/10/14,121
Hostage Taking (Kidnapping),2021/11/14,108
Hostage Taking (Kidnapping),2021/12/14,110
Hostage Taking (Kidnapping),2021/1/15,128
Hostage Taking (Kidnapping),2021/2/15,85
Hostage Taking (Kidnapping),2021/3/15,99
Hostage Taking (Kidnapping),2021/4/15,112
Hostage Taking (Kidnapping),2021/5/15,119
Hostage Taking (Kidnapping),2021/6/15,86
Hostage Taking (Kidnapping),2021/7/15,90
Hostage Taking (Kidnapping),2021/8/15,97
Hostage Taking (Kidnapping),2021/9/15,96
Hostage Taking (Kidnapping),2021/10/15,112
Hostage Taking (Kidnapping),2021/11/15,90
Hostage Taking (Kidnapping),2021/12/15,83
Hostage Taking (Kidnapping),2021/1/16,117
Hostage Taking (Kidnapping),2021/2/16,102
Hostage Taking (Kidnapping),2021/3/16,97
Hostage Taking (Kidnapping),2021/4/16,127
Hostage Taking (Kidnapping),2021/5/16,128
Hostage Taking (Kidnapping),2021/6/16,87
Hostage Taking (Kidnapping),2021/7/16,74
Hostage Taking (Kidnapping),2021/8/16,55
Hostage Taking (Kidnapping),2021/9/16,70
Hostage Taking (Kidnapping),2021/10/16,99
Hostage Taking (Kidnapping),2021/11/16,97
Hostage Taking (Kidnapping),2021/12/16,79
Hostage Taking (Kidnapping),2021/1/17,81
Hostage Taking (Kidnapping),2021/2/17,74
Hostage Taking (Kidnapping),2021/3/17,86
Hostage Taking (Kidnapping),2021/4/17,69
Hostage Taking (Kidnapping),2021/5/17,84
Hostage Taking (Kidnapping),2021/6/17,83
Hostage Taking (Kidnapping),2021/7/17,85
Hostage Taking (Kidnapping),2021/8/17,74
Hostage Taking (Kidnapping),2021/9/17,64
Hostage Taking (Kidnapping),2021/10/17,76
Hostage Taking (Kidnapping),2021/11/17,44
Hostage Taking (Kidnapping),2021/12/17,58
Unarmed Assault,1997/1/1,1
Unarmed Assault,1997/2/1,4
Unarmed Assault,1997/3/1,1
Unarmed Assault,1997/4/1,4
Unarmed Assault,1997/5/1,1
Unarmed Assault,1997/6/1,2
Unarmed Assault,1997/7/1,3
Unarmed Assault,1997/8/1,4
Unarmed Assault,1997/9/1,1
Unarmed Assault,1997/11/1,2
Unarmed Assault,1997/12/1,2
Unarmed Assault,1998/2/1,2
Unarmed Assault,1998/3/1,1
Unarmed Assault,1998/4/1,6
Unarmed Assault,1998/5/1,2
Unarmed Assault,1998/11/1,3
Unarmed Assault,1998/12/1,1
Unarmed Assault,1999/1/1,2
Unarmed Assault,1999/2/1,1
Unarmed Assault,1999/5/1,1
Unarmed Assault,1999/6/1,4
Unarmed Assault,1999/7/1,1
Unarmed Assault,1999/8/1,5
Unarmed Assault,1999/10/1,15
Unarmed Assault,1999/11/1,1
Unarmed Assault,1999/12/1,6
Unarmed Assault,2000/1/1,1
Unarmed Assault,2000/2/1,3
Unarmed Assault,2000/3/1,2
Unarmed Assault,2000/4/1,1
Unarmed Assault,2000/5/1,3
Unarmed Assault,2000/6/1,12
Unarmed Assault,2000/7/1,2
Unarmed Assault,2000/9/1,1
Unarmed Assault,2000/11/1,1
Unarmed Assault,2021/2/1,5
Unarmed Assault,2021/3/1,2
Unarmed Assault,2021/8/1,12
Unarmed Assault,2021/9/1,2
Unarmed Assault,2021/10/1,16
Unarmed Assault,2021/11/1,3
Unarmed Assault,2021/12/1,1
Unarmed Assault,2021/2/2,2
Unarmed Assault,2021/3/2,1
Unarmed Assault,2021/4/2,2
Unarmed Assault,2021/5/2,2
Unarmed Assault,2021/7/2,1
Unarmed Assault,2021/8/2,1
Unarmed Assault,2021/12/2,1
Unarmed Assault,2021/1/3,1
Unarmed Assault,2021/2/3,1
Unarmed Assault,2021/3/3,2
Unarmed Assault,2021/6/3,9
Unarmed Assault,2021/10/3,1
Unarmed Assault,2021/11/3,5
Unarmed Assault,2021/12/3,1
Unarmed Assault,2021/2/4,1
Unarmed Assault,2021/3/4,1
Unarmed Assault,2021/5/4,1
Unarmed Assault,2021/9/4,1
Unarmed Assault,2021/3/5,2
Unarmed Assault,2021/5/5,2
Unarmed Assault,2021/6/5,1
Unarmed Assault,2021/9/5,1
Unarmed Assault,2021/1/6,3
Unarmed Assault,2021/3/6,1
Unarmed Assault,2021/4/6,9
Unarmed Assault,2021/6/6,1
Unarmed Assault,2021/11/6,1
Unarmed Assault,2021/3/7,2
Unarmed Assault,2021/6/7,1
Unarmed Assault,2021/8/7,1
Unarmed Assault,2021/11/7,1
Unarmed Assault,2021/12/7,1
Unarmed Assault,2021/3/8,1
Unarmed Assault,2021/4/8,1
Unarmed Assault,2021/5/8,6
Unarmed Assault,2021/6/8,7
Unarmed Assault,2021/7/8,3
Unarmed Assault,2021/8/8,4
Unarmed Assault,2021/10/8,3
Unarmed Assault,2021/11/8,3
Unarmed Assault,2021/12/8,3
Unarmed Assault,2021/1/9,1
Unarmed Assault,2021/2/9,1
Unarmed Assault,2021/3/9,3
Unarmed Assault,2021/4/9,1
Unarmed Assault,2021/5/9,4
Unarmed Assault,2021/6/9,1
Unarmed Assault,2021/7/9,2
Unarmed Assault,2021/8/9,3
Unarmed Assault,2021/9/9,2
Unarmed Assault,2021/10/9,1
Unarmed Assault,2021/4/10,3
Unarmed Assault,2021/5/10,3
Unarmed Assault,2021/6/10,2
Unarmed Assault,2021/7/10,1
Unarmed Assault,2021/8/10,3
Unarmed Assault,2021/9/10,2
Unarmed Assault,2021/10/10,1
Unarmed Assault,2021/11/10,5
Unarmed Assault,2021/12/10,1
Unarmed Assault,2021/1/11,3
Unarmed Assault,2021/2/11,2
Unarmed Assault,2021/3/11,2
Unarmed Assault,2021/4/11,2
Unarmed Assault,2021/5/11,1
Unarmed Assault,2021/6/11,1
Unarmed Assault,2021/7/11,1
Unarmed Assault,2021/9/11,2
Unarmed Assault,2021/10/11,2
Unarmed Assault,2021/11/11,1
Unarmed Assault,2021/12/11,3
Unarmed Assault,2021/1/12,1
Unarmed Assault,2021/2/12,2
Unarmed Assault,2021/3/12,2
Unarmed Assault,2021/4/12,2
Unarmed Assault,2021/5/12,7
Unarmed Assault,2021/6/12,5
Unarmed Assault,2021/7/12,2
Unarmed Assault,2021/8/12,1
Unarmed Assault,2021/9/12,1
Unarmed Assault,2021/10/12,4
Unarmed Assault,2021/11/12,3
Unarmed Assault,2021/1/13,2
Unarmed Assault,2021/3/13,5
Unarmed Assault,2021/4/13,3
Unarmed Assault,2021/5/13,12
Unarmed Assault,2021/6/13,2
Unarmed Assault,2021/7/13,2
Unarmed Assault,2021/8/13,3
Unarmed Assault,2021/9/13,2
Unarmed Assault,2021/10/13,5
Unarmed Assault,2021/11/13,1
Unarmed Assault,2021/12/13,2
Unarmed Assault,2021/1/14,2
Unarmed Assault,2021/2/14,1
Unarmed Assault,2021/3/14,6
Unarmed Assault,2021/4/14,8
Unarmed Assault,2021/5/14,4
Unarmed Assault,2021/6/14,1
Unarmed Assault,2021/7/14,3
Unarmed Assault,2021/8/14,9
Unarmed Assault,2021/9/14,4
Unarmed Assault,2021/10/14,6
Unarmed Assault,2021/11/14,6
Unarmed Assault,2021/12/14,4
Unarmed Assault,2021/1/15,1
Unarmed Assault,2021/2/15,2
Unarmed Assault,2021/3/15,2
Unarmed Assault,2021/4/15,8
Unarmed Assault,2021/5/15,14
Unarmed Assault,2021/6/15,5
Unarmed Assault,2021/7/15,2
Unarmed Assault,2021/8/15,3
Unarmed Assault,2021/9/15,11
Unarmed Assault,2021/10/15,10
Unarmed Assault,2021/11/15,15
Unarmed Assault,2021/12/15,22
Unarmed Assault,2021/1/16,7
Unarmed Assault,2021/2/16,5
Unarmed Assault,2021/3/16,8
Unarmed Assault,2021/4/16,3
Unarmed Assault,2021/5/16,8
Unarmed Assault,2021/6/16,4
Unarmed Assault,2021/7/16,5
Unarmed Assault,2021/8/16,9
Unarmed Assault,2021/9/16,8
Unarmed Assault,2021/10/16,8
Unarmed Assault,2021/11/16,3
Unarmed Assault,2021/12/16,3
Unarmed Assault,2021/1/17,9
Unarmed Assault,2021/2/17,2
Unarmed Assault,2021/3/17,5
Unarmed Assault,2021/4/17,13
Unarmed Assault,2021/5/17,6
Unarmed Assault,2021/6/17,12
Unarmed Assault,2021/7/17,12
Unarmed Assault,2021/8/17,12
Unarmed Assault,2021/9/17,13
Unarmed Assault,2021/10/17,5
Unarmed Assault,2021/11/17,7
Unarmed Assault,2021/12/17,5
Unknown,1997/1/1,24
Unknown,1997/2/1,15
Unknown,1997/3/1,44
Unknown,1997/4/1,24
Unknown,1997/5/1,14
Unknown,1997/6/1,25
Unknown,1997/7/1,32
Unknown,1997/8/1,39
Unknown,1997/9/1,39
Unknown,1997/10/1,26
Unknown,1997/11/1,29
Unknown,1997/12/1,37
Unknown,1998/1/1,3
Unknown,1998/2/1,2
Unknown,1998/4/1,1
Unknown,1998/6/1,1
Unknown,1998/7/1,3
Unknown,1998/8/1,1
Unknown,1998/9/1,4
Unknown,1998/10/1,2
Unknown,1998/11/1,5
Unknown,1998/12/1,1
Unknown,1999/3/1,1
Unknown,1999/4/1,3
Unknown,1999/5/1,1
Unknown,1999/6/1,16
Unknown,1999/7/1,4
Unknown,1999/9/1,4
Unknown,1999/10/1,6
Unknown,1999/11/1,4
Unknown,2000/1/1,3
Unknown,2000/2/1,2
Unknown,2000/4/1,1
Unknown,2000/5/1,4
Unknown,2000/6/1,4
Unknown,2000/7/1,6
Unknown,2000/8/1,2
Unknown,2000/9/1,6
Unknown,2000/10/1,3
Unknown,2000/11/1,3
Unknown,2000/12/1,9
Unknown,2021/1/1,7
Unknown,2021/2/1,4
Unknown,2021/3/1,6
Unknown,2021/4/1,5
Unknown,2021/5/1,2
Unknown,2021/6/1,3
Unknown,2021/7/1,2
Unknown,2021/8/1,7
Unknown,2021/9/1,3
Unknown,2021/10/1,2
Unknown,2021/11/1,3
Unknown,2021/12/1,1
Unknown,2021/2/2,2
Unknown,2021/4/2,3
Unknown,2021/5/2,5
Unknown,2021/6/2,1
Unknown,2021/7/2,2
Unknown,2021/8/2,1
Unknown,2021/9/2,3
Unknown,2021/10/2,2
Unknown,2021/11/2,2
Unknown,2021/12/2,4
Unknown,2021/1/3,3
Unknown,2021/2/3,2
Unknown,2021/4/3,3
Unknown,2021/5/3,9
Unknown,2021/6/3,1
Unknown,2021/7/3,3
Unknown,2021/11/3,6
Unknown,2021/1/4,2
Unknown,2021/2/4,1
Unknown,2021/5/4,5
Unknown,2021/6/4,11
Unknown,2021/7/4,3
Unknown,2021/8/4,3
Unknown,2021/9/4,1
Unknown,2021/1/5,5
Unknown,2021/2/5,6
Unknown,2021/3/5,1
Unknown,2021/4/5,2
Unknown,2021/5/5,4
Unknown,2021/6/5,5
Unknown,2021/7/5,2
Unknown,2021/8/5,1
Unknown,2021/9/5,4
Unknown,2021/10/5,2
Unknown,2021/12/5,6
Unknown,2021/1/6,5
Unknown,2021/2/6,3
Unknown,2021/3/6,1
Unknown,2021/4/6,6
Unknown,2021/5/6,4
Unknown,2021/6/6,6
Unknown,2021/7/6,2
Unknown,2021/8/6,5
Unknown,2021/9/6,3
Unknown,2021/10/6,2
Unknown,2021/11/6,1
Unknown,2021/12/6,1
Unknown,2021/1/7,1
Unknown,2021/2/7,2
Unknown,2021/3/7,5
Unknown,2021/4/7,2
Unknown,2021/5/7,1
Unknown,2021/6/7,1
Unknown,2021/7/7,2
Unknown,2021/9/7,2
Unknown,2021/10/7,1
Unknown,2021/11/7,12
Unknown,2021/12/7,1
Unknown,2021/1/8,9
Unknown,2021/2/8,1
Unknown,2021/3/8,9
Unknown,2021/4/8,13
Unknown,2021/5/8,15
Unknown,2021/6/8,15
Unknown,2021/7/8,5
Unknown,2021/8/8,9
Unknown,2021/9/8,1
Unknown,2021/10/8,6
Unknown,2021/11/8,6
Unknown,2021/12/8,17
Unknown,2021/1/9,14
Unknown,2021/2/9,7
Unknown,2021/3/9,13
Unknown,2021/4/9,15
Unknown,2021/5/9,14
Unknown,2021/6/9,11
Unknown,2021/7/9,26
Unknown,2021/8/9,11
Unknown,2021/9/9,9
Unknown,2021/10/9,10
Unknown,2021/11/9,3
Unknown,2021/12/9,4
Unknown,2021/2/10,10
Unknown,2021/3/10,10
Unknown,2021/4/10,4
Unknown,2021/5/10,16
Unknown,2021/6/10,8
Unknown,2021/7/10,7
Unknown,2021/8/10,8
Unknown,2021/9/10,16
Unknown,2021/10/10,13
Unknown,2021/11/10,12
Unknown,2021/12/10,12
Unknown,2021/1/11,8
Unknown,2021/2/11,4
Unknown,2021/3/11,4
Unknown,2021/4/11,9
Unknown,2021/5/11,12
Unknown,2021/6/11,9
Unknown,2021/7/11,9
Unknown,2021/8/11,9
Unknown,2021/9/11,11
Unknown,2021/10/11,14
Unknown,2021/11/11,20
Unknown,2021/12/11,4
Unknown,2021/1/12,15
Unknown,2021/2/12,14
Unknown,2021/3/12,17
Unknown,2021/4/12,22
Unknown,2021/5/12,24
Unknown,2021/6/12,12
Unknown,2021/7/12,17
Unknown,2021/8/12,16
Unknown,2021/9/12,12
Unknown,2021/10/12,14
Unknown,2021/11/12,10
Unknown,2021/12/12,9
Unknown,2021/1/13,12
Unknown,2021/2/13,8
Unknown,2021/3/13,19
Unknown,2021/4/13,19
Unknown,2021/5/13,18
Unknown,2021/6/13,14
Unknown,2021/7/13,29
Unknown,2021/8/13,21
Unknown,2021/9/13,17
Unknown,2021/10/13,39
Unknown,2021/11/13,27
Unknown,2021/12/13,33
Unknown,2021/1/14,30
Unknown,2021/2/14,46
Unknown,2021/3/14,52
Unknown,2021/4/14,56
Unknown,2021/5/14,65
Unknown,2021/6/14,58
Unknown,2021/7/14,93
Unknown,2021/8/14,66
Unknown,2021/9/14,86
Unknown,2021/10/14,103
Unknown,2021/11/14,68
Unknown,2021/12/14,61
Unknown,2021/1/15,69
Unknown,2021/2/15,61
Unknown,2021/3/15,49
Unknown,2021/4/15,82
Unknown,2021/5/15,64
Unknown,2021/6/15,73
Unknown,2021/7/15,82
Unknown,2021/8/15,88
Unknown,2021/9/15,91
Unknown,2021/10/15,67
Unknown,2021/11/15,97
Unknown,2021/12/15,68
Unknown,2021/1/16,45
Unknown,2021/2/16,66
Unknown,2021/3/16,81
Unknown,2021/4/16,78
Unknown,2021/5/16,108
Unknown,2021/6/16,84
Unknown,2021/7/16,87
Unknown,2021/8/16,74
Unknown,2021/9/16,66
Unknown,2021/10/16,102
Unknown,2021/11/16,65
Unknown,2021/12/16,66
Unknown,2021/1/17,65
Unknown,2021/2/17,54
Unknown,2021/3/17,63
Unknown,2021/4/17,42
Unknown,2021/5/17,93
Unknown,2021/6/17,80
Unknown,2021/7/17,100
Unknown,2021/8/17,80
Unknown,2021/9/17,68
Unknown,2021/10/17,52
Unknown,2021/11/17,66
Unknown,2021/12/17,62
